sample id	Sequencing run	Sampling date	Sampling duration (min)	area	Sampling number	DZMZ Lfd Nummer	DSMZ Probe 	DSMZ Barcode	DSMZ Index	Object number SPK	Object number MfN	Spot number	Sample	Institution	Collection	Type of room	Object	Material	Stone type	Color	Inv. number	Spot	Height	Touched	Comments	Comments 2
MfN11	second	10/12/2021			MfN 11	11	2MfN_11	11	1		4	4	2	MfN	VertPal	Collection	Tendaguru	Fossile Bone			MB.R.2095.12	bone			untouched	
MfN12	second	10/12/2021			MfN 12	12	2MfN_12	3	2		4	4	3	MfN	VertPal	Collection	Tendaguru	Fossile Bone			MB.R.2095.13	bone			untouched	
MfN13	second	10/12/2021			MfN 13	13	2MfN_13	13	1		5	5	1	MfN	VertPal	Collection	Tendaguru	Fossile Bone			MB.R.2249 / R12	bone		Y	touched by users	these three bones were considered as one 
MfN14	second	10/12/2021			MfN 14	14	2MfN_14	14	1		6	5	2	MfN	VertPal	Collection	Tendaguru	Fossile Bone			MB.R.2249 / R11	bone		Y	touched by users	these three bones were considered as one 
MfN15	second	10/12/2021			MfN 15	15	2MfN_15	15	1		7	5	3	MfN	VertPal	Collection	Tendaguru	Fossile Bone			MB.R.2249 / R10	bone		Y	touched by users	these three bones were considered as one 
MfN16	second	10/12/2021			MfN 16	16	2MfN_16	27	2		8	6	1	MfN	VertPal	Collection	Tendaguru	Fossile Bone			MB.R.4032	bone			untouched	mixed sample along right side from end to end
MfN17	second	10/12/2021			MfN 17	17	2MfN_17	5	2		8	6	2	MfN	VertPal	Collection	Tendaguru	Fossile Bone			MB.R.4032	bone			untouched	pure bone sample from free end
MfN18	second	10/12/2021			MfN 18	18	2MfN_18	8	2		8	6	3	MfN	VertPal	Collection	Tendaguru	Fossile Bone			MB.R.4032	bone			untouched	canvas sample from covered end
2NC Kit II						41	2NC Kit II	19	2					DSMZ	Controls		Controls									
2NC swab III						60	2NC swab III	26	2					DSMZ	Controls		Controls									
MfN6-2NC Kit III						61	2NC Kit III	1	2					DSMZ	Controls		Controls								messed up	
NCPCR2						65	NC_PCR2	28	2					DSMZ	Controls		Controls									
2NC swab I						19	2NC swab I	19	1					DSMZ	Controls		Controls									
2NC Kit I						20	2NC Kit I	20	1					DSMZ	Controls		Controls									
2NC swab II						21	2NC swab II	9	2					DSMZ	Controls		Controls									
LNC BS1		Oct-20					L_NC_BS1	6	2					DSMZ	Controls		Controls									
LNC BS2		Oct-20					L_NC_BS2	7	2					DSMZ	Controls		Controls									
LNC BS3		Oct-20					L_NC_BS3	26	1					DSMZ	Controls		Controls									
LNC Kit 1		Oct-20					L_NC_Kit_1	27	1					DSMZ	Controls		Controls									
LNC Kit 2		Oct-20					L_NC_Kit2	8	2					DSMZ	Controls		Controls									
LNC Kit 3		Oct-20					L_NC_Kit_3	28	1					DSMZ	Controls		Controls									
NCPCR1		Oct-20					NCPCR1	9	2					DSMZ	Controls		Controls									
